Fecha;PM10;PM2-5;Velocidad;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;T;Radiación;HR
01-01-2023;59,5;53;2,2;3,3;347;27,9;0,7;7,2;15,3;20,3;2,2;21,8;0;0
02-01-2023;28,2;21;2;0,4;359;30,1;0,6;9,3;22,4;25;2,4;22,3;0;0
03-01-2023;59;25;3,3;0;351;22,4;0,9;55,4;23,8;71,6;3,6;21;0;0
04-01-2023;47,9;23;2,1;0;358;23,1;0,7;31,9;18,7;44,2;4,7;22,1;0;0
05-01-2023;46,2;23;3,1;0;356;23,3;0,6;24,2;19,7;42,2;3;20,1;0;0
06-01-2023;66,6;31;2,7;2,8;355;36,9;0,7;27;26;43,4;4,1;22;0;0
07-01-2023;20,4;21;2,2;4,6;357;17,4;0,9;12;24,6;34,2;9;19,4;0;0
08-01-2023;24,9;17;2,5;2,7;356;18,8;0,7;22,5;16,9;39,4;8;19,1;0;0
09-01-2023;36,7;20;1,7;5,4;358;21,6;0,7;32,4;14;43,4;6,4;20,9;0;0
10-01-2023;31,2;17;1,9;2,9;347;23,2;0,5;24,1;22;44,4;3,2;20,1;0;0
11-01-2023;52,5;21;3,1;1,1;343;23,3;0,7;33,9;19,5;53,4;4,4;21,5;0;0
12-01-2023;44,8;25;2,4;2;354;17,1;1,1;73,2;20,7;91,1;1,5;19,3;0;0
13-01-2023;57,7;33;3,4;0;357;22,1;0,7;56,6;18,6;70,8;2,7;21,8;0;0
14-01-2023;63,6;48;2,8;1,6;336;49,7;1;41,5;20,4;61,4;3,7;25,5;0;0
15-01-2023;26,8;15;2,9;15;356;31,4;0,6;4;16,2;19,1;1,4;25,2;0;0
16-01-2023;45;37;1,9;0;358;46,1;1,1;47,8;23;68,3;1,8;21,6;0;0
17-01-2023;68,2;38;2,2;7,7;355;41;0,9;48,2;29,1;67,7;1,7;21,1;0;0
18-01-2023;42,2;40;2,3;1,6;352;39,2;1;32,3;41,4;50,4;2;22,7;0;0
19-01-2023;50,9;33;2,7;3,8;354;37;0,7;74,9;23,3;94,4;4,7;23,6;0;0
20-01-2023;67;33;2,7;0,2;360;28,4;0,9;39,5;28,1;56,8;3,3;20,2;0;0
21-01-2023;55;32;2,4;0;357;36,7;0,6;9,6;24,2;29,7;1,2;22,2;0;0
22-01-2023;47,6;20;4;0;352;23,2;0,5;6,2;14,4;20,2;0,8;20,3;0;0
23-01-2023;88,8;26;3,7;0;63;15,8;0,7;34,6;17,8;52;2,2;17,2;0;0
24-01-2023;103,2;30;4,3;0;360;17,7;0,8;40,1;18,1;58,2;1,6;19,2;0;0
25-01-2023;95,1;42;3,2;0;354;37,1;0,7;41,4;23;61,2;9,9;22,3;0;0
26-01-2023;75,8;40;3,2;0;353;29,5;0,7;34,4;20,2;52,2;1,9;23,7;0;0
27-01-2023;103,4;44;2,6;0;356;35,2;0,8;43,1;23,4;66,5;7;25;0;0
28-01-2023;145,8;71;2,2;0;359;54,5;1,2;47,9;34,6;70,8;5,6;24,3;0;0
29-01-2023;79,5;35;2;0;350;44,9;0,6;22,1;22,2;38,1;7,3;25,1;0;0
30-01-2023;116,1;47;2,6;0;354;34;0,8;48,1;25,8;69,7;7,7;25,1;0;0
31-01-2023;112,3;55;2,7;0;356;36,4;1,1;82,5;26,2;100,1;3,9;24,8;0;0
01-02-2023;124,5;44;2,6;0;351;45,7;1;56,5;29,3;79,7;12,9;24,6;0;0
02-02-2023;115,1;49;3,3;0;360;49,1;0,6;21,9;25,5;46,1;20,1;24,7;0;0
03-02-2023;85,9;41;2,5;0;358;50,4;0,7;31,7;24,4;54,8;23,7;25,2;0;0
04-02-2023;110;48;3,1;0;353;45,8;0,9;32,4;30,9;59,7;22,3;23,3;0;0
05-02-2023;77,3;35;4,5;0;360;18,6;0,7;23,6;23,6;41,5;13,8;20,7;0;0
06-02-2023;94,8;32;4,6;0;354;10,3;0,6;35,8;17,6;52,8;17,6;19,7;0;0
07-02-2023;92,9;44;3,2;0;360;15,2;0,9;50,2;16,8;52;22,7;23,1;0;0
08-02-2023;92,5;43;2,4;7,5;351;19,5;0,7;48,5;15,7;51,6;13,2;23,9;0;0
09-02-2023;46,2;41;2,4;14,4;355;21,9;2,5;68;15,9;69,4;3,9;22,5;0;0
10-02-2023;56,3;35;2,8;0;348;20,9;0,8;46,9;14;50,2;3,4;23,6;0;0
11-02-2023;39,9;29;2,9;7,8;331;28,4;0,6;18,8;15,9;30,9;7,7;23,9;0;0
12-02-2023;45,3;27;3,2;0;356;15,7;0,5;10,3;16,8;19,6;11,8;21;0;0
13-02-2023;56,7;45;3,2;0;357;16,9;0,7;45,3;13,1;45,5;10,3;22,7;0;0
14-02-2023;59,5;32;2,1;0;355;18,6;0,6;36,7;15,2;41;7,2;23;0;0
15-02-2023;70,3;30;3;0;359;15,5;0,7;45,7;14,5;47,3;4,7;21,6;0;0
16-02-2023;65,5;39;2,6;26,1;351;16,9;1;46,4;13,4;48,5;7,4;21,6;0;0
17-02-2023;42,2;17;2,7;0;359;24,4;0,5;14,7;16;20,9;14,5;25,2;0;0
18-02-2023;36,5;25;2,2;46;357;26,6;0,8;32,2;18,3;37,4;9,1;22,2;0;0
19-02-2023;44,4;29;2,5;0;355;45,2;0,5;26,7;15,9;31,1;4;24,3;0;0
20-02-2023;61,2;32;2,1;3,1;353;37,7;0,7;38,8;17,4;47,4;6,9;23,2;0;0
21-02-2023;49,9;38;2,1;11;359;30,1;0,6;20,1;22,3;35,5;9,5;22,2;0;0
22-02-2023;67,7;60;2,5;0;359;29;0,7;36;26,6;57,9;3;22,4;0;0
23-02-2023;56,7;39;2,7;0;354;37,6;0,8;40,4;25,4;62,6;1,5;26,1;0;0
24-02-2023;106,1;59;2,4;0;358;48,7;1;60;26,2;86,2;7,5;24,1;0;0
25-02-2023;136,1;74;2,4;0;313;53,6;0,8;19,5;31;46,7;5,3;24,3;0;0
26-02-2023;96,3;44;2,3;0;355;47,3;0,7;15,6;23,4;34,8;3;22,7;0;0
27-02-2023;102,1;65;2,2;6,3;351;44,5;1,3;116,9;26,3;143,2;8,9;23,8;0;0
28-02-2023;76,3;43;3,6;0;327;22,8;0,8;22;21,8;40,3;2,1;22,9;0;0
01-03-2023;71,2;35;4,1;0;344;24,2;0,8;30,5;23,5;54;1,7;21,8;0;0
02-03-2023;37,2;29;3,2;0,1;359;21,3;0,7;19,6;22,3;39,9;1,3;20;0;0
03-03-2023;62,4;22;2,9;0;98;17,2;0,7;9,6;16,5;25,1;2,1;21,5;0;0
04-03-2023;62,2;24;3;0;357;12,9;0,7;17,7;15,6;33,3;2,9;18,7;0;0
05-03-2023;24,4;15;3,4;0;354;16,4;0,5;8,4;10,9;19;4,3;20,7;0;0
06-03-2023;40,3;28;2,3;0;355;27,2;0,6;22,7;15,8;38,5;4,1;23,8;0;0
07-03-2023;69,8;39;2,6;0;358;37,2;0,8;34,1;21,1;55,2;5,4;26,3;0;0
08-03-2023;35,5;29;2;0;357;28,8;0,7;42,9;19;62;2,7;22,3;0;0
09-03-2023;12;25;1,8;0;345;14,6;0,7;7,6;23,6;29,9;2,7;14,9;0;0
10-03-2023;50,4;33;2,1;0;350;21;1,1;67,4;17,7;84,9;4,5;22,6;0;0
11-03-2023;18,2;32;1,2;0;352;15;1,2;34,7;29;63,6;2,3;14,4;0;0
12-03-2023;20;21;2,2;0;355;23,5;1;8,7;28;34,9;1;20,6;0;0
13-03-2023;19,5;23;1,8;4,3;351;13,6;1,3;33,9;24,4;58,2;3;17,6;0;0
14-03-2023;31,2;28;2,1;0,3;359;26,6;1;54,9;23,3;71,9;1,2;20,9;0;0
