Fecha;PM10;PM2-5;Velocidad;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;T;Radiación ;HR
01-01-2023;47;41;2,3;10,9;337;58,8;0,6;8,5;15,3;20,5;0,9;21,1;0;0
02-01-2023;35,8;19;1,9;4;338;56,8;0,8;21;26,7;36;1;19,4;0;0
03-01-2023;38,1;29;3;23,9;343;44,6;1;45,1;21,2;61;1,6;18,9;0;0
04-01-2023;52,3;25;1,7;2,6;356;40,8;0,9;43,8;21,9;65,7;1,7;18,4;0;0
05-01-2023;36,6;19;4,1;0;149;36,4;0,7;22,1;17,8;39,9;1;16,4;0;0
06-01-2023;51,8;30;2,9;25,7;358;44,4;0,6;14;23,9;33,9;1,2;18,1;0;0
07-01-2023;28,5;21;2,8;0,6;354;26,3;1;24,7;19,8;44,4;1,2;16,6;0;0
08-01-2023;20,5;17;2,8;0,7;343;29,4;0,5;11,5;11,8;22,7;1;16,9;0;0
09-01-2023;29,2;23;2;6,9;355;35,8;0,7;29,1;22,2;40,7;2,1;18,8;0;0
10-01-2023;30;30;2,1;5,2;357;34,6;1,3;52;31,6;70,6;1,6;18,5;0;0
11-01-2023;43,3;29;2,3;0,9;351;25,7;1,5;78,4;33,4;95,9;2,2;19,6;0;0
12-01-2023;25,4;9;2,2;0,3;331;28;0,7;22,9;15,6;38,4;1,2;17,1;0;0
13-01-2023;39,5;25;3,7;0;356;24,6;0,9;47,8;23,3;64,2;1,8;19,3;0;0
14-01-2023;66,5;39;1,4;3,8;359;55,3;1;34,9;34;61,4;0;20,2;0;0
15-01-2023;31,5;22;1,9;4,9;357;42,3;0,7;14,5;19,6;26,5;0;21,4;0;0
16-01-2023;53,1;32;3,2;0,1;280;43,3;1;37,6;39,5;56,8;0;19,1;0;0
17-01-2023;70,7;41;2,6;0;331;45,3;1,3;48,6;38,9;87,5;0;17,9;0;0
18-01-2023;55,3;39;1,8;6,3;360;59,2;1,6;31,7;40;71,6;0;20,6;0;0
19-01-2023;47,5;35;3,9;4,6;356;45,2;1,4;81,6;26,3;104,1;0;20,9;0;0
20-01-2023;39,7;19;5,2;0,1;348;34,3;0,9;44,6;20,9;64,7;0;16,8;0;0
21-01-2023;26,1;15;4,1;0;341;38;0,3;3,6;8,2;11,4;0;18,6;0;0
22-01-2023;21,5;13,2;4,8;0;340;34,7;0,3;3,7;8,1;11,8;0;18,6;0;0
23-01-2023;27,4;10;3,2;0;359;21,7;0,6;21,4;11,6;33;0;17,1;0;0
24-01-2023;22,5;11;2,8;0;358;26,3;0,4;15,3;11,2;24,4;0;18,2;0;0
25-01-2023;43,4;22;3,3;0;348;36,4;1,3;87,2;26,4;113,6;0;21;0;0
26-01-2023;62,9;28;3,6;0;349;37,8;1,9;139,4;29,1;168,5;0;21,6;0;0
27-01-2023;93,6;48;2,1;0;357;66,9;1,9;129,1;31,7;160,8;0;23;0;0
28-01-2023;79,6;44;3,3;0;360;97,8;1,5;67,4;34,9;91,6;0;21,4;0;0
29-01-2023;56,8;28;3,8;0;353;60,3;1,3;53,8;27,7;79,9;0;21,4;0;0
30-01-2023;88,6;42;2,4;1,9;359;71,1;1,9;137,6;43;164,3;0;21,6;0;0
31-01-2023;73,5;43;1,9;0;357;71,4;1,6;110,1;36;136;0;21,4;0;0
01-02-2023;95,3;48;2,6;0;355;88,6;1,5;84,6;39,7;110,2;0;22;0;0
